Country,Year,Access to electricity (% of population),Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),Control of Corruption: Percentile Rank,"Foreign direct investment, net inflows (% of GDP)",Forest area (% of land area),GDP (current US$),GDP growth (annual %),GDP per capita (current US$),Gini index,High-technology exports (% of manufactured exports),Individuals using the Internet (% of population),"Inflation, consumer prices (annual %)","Life expectancy at birth, total (years)","Literacy rate, adult total (% of people ages 15 and above)","Mortality rate, infant (per 1,000 live births)",People using at least basic drinking water services (% of population),People using at least basic sanitation services (% of population),"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Political Stability and Absence of Violence/Terrorism: Estimate,Population growth (annual %),"Population, total",Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),Regulatory Quality: Estimate,Renewable energy consumption (% of total final energy consumption),Research and development expenditure (% of GDP),Rule of Law: Estimate,"School enrollment, primary (% gross)",Trade (% of GDP),"Unemployment, total (% of total labor force) (modeled ILO estimate)",Urban population (% of total population),Voice and Accountability: Estimate
Nepal,2010,68.6,0.176153313,27.1428566,0.548294666,41.59072201,16002656434,4.816414647,589.1654349,32.8,0.686184565,7.93,9.326504107,66.814,0,38.2,85.59110733,42.04934037,48.37838373,-1.583971143,0.496881283,27161567,8.2,-0.761707723,87.3,0.30219999,-0.959066808,146.5405579,45.98490577,10.629,16.768,-0.447481632
Nepal,2011,67.3,0.196593617,23.22274971,0.435814931,41.59072201,21573872421,3.421808701,791.2255821,0,0.415308033,9,9.227075461,67.313,60,36.7,86.14227181,45.22110125,57.74057448,-1.416443586,0.38521421,27266399,0,-0.734936655,87,0,-0.89161092,150.3542404,36.29675889,10.653,17.108,-0.445125788
Nepal,2012,75.2,0.228065925,22.74881554,0.423691511,41.59072201,21703100877,4.670141924,794.0925641,0,0.136727858,11.1493,9.459809804,67.47,0,35.2,86.68653071,48.45818056,71.40605466,-1.381232262,0.235525469,27330694,0,-0.805144668,84.7,0,-0.737359285,147.8899892,37.92190606,10.654,17.458,-0.642363489
Nepal,2013,77.4,0.229603468,28.90995216,0.334712331,41.59072201,22162204925,3.525153171,809.3844533,0,0.321841426,13.3,9.040163119,67.965,0,33.8,87.22355971,51.75956325,71.4182306,-1.129146099,0.185921857,27381555,0,-0.858153939,86,0,-0.718928397,144.305934,41.86537574,10.667,17.815,-0.528574824
Nepal,2014,84.9,0.26548583,33.17307663,0.133746237,41.59072201,22731612922,6.011482843,827.7447084,0,0.719637873,15.44,8.364154697,68.085,0,32.4,87.75332524,55.12480762,75.11797417,-0.72459954,0.293747924,27462106,0,-0.847787738,84,0,-0.649084508,141.9366322,45.98264161,10.647,18.182,-0.430445671
Nepal,2015,82,0.2661613,32.38095093,0.213029528,41.59072201,24360801287,3.976053272,882.3076616,0,0.635275667,17.5816,7.868908956,67.456,0,31,88.27558063,58.55299334,70.93619553,-0.997430027,0.53827062,27610325,0,-0.831647515,85.2,0,-0.692901909,142.9910284,46.66573039,10.655,18.557,-0.415430844
Nepal,2016,90.7,0.389925971,22.38095284,0.432212944,41.59072201,24524109484,0.433113719,880.2248936,0,0.822554673,20.7,8.79034332,68.776,65.50100708,29.7,88.79020539,62.04347519,72.40748542,-0.846989989,0.904474047,27861186,0,-0.789327502,79.4,0,-0.810879767,143.414505,42.11548612,10.684,18.942,-0.251382679
Nepal,2017,86.6,0.47439229,23.80952454,0.677439884,41.59072201,28971588940,8.977279356,1027.965477,0,1.184259948,24.3,3.627096107,68.91,0,28.4,89.29699309,65.59537452,64.64427161,-0.5841012,1.149953723,28183426,0,-0.740814745,76.8,0,-0.694215536,140.8214111,44.64241062,10.66,19.336,-0.19951579
Nepal,2018,93.9,0.536031655,27.1428566,0.206157202,41.59072201,33111525237,7.622376104,1161.534352,0,0.630576368,28.6,4.061163388,68.979,0,27.2,89.79577585,69.20789092,64.21083228,-0.542416573,1.140549365,28506712,0,-0.775707901,75,0,-0.491404861,0,48.44738695,10.63,19.74,-0.129691318
Nepal,2019,89.9,0.481671791,27.1428566,0.54280198,41.59072201,34186180699,6.657055431,1185.682318,0,1.074529846,34.8055,5.568685478,69.558,68.71250153,26,90.28636635,72.88012795,57.27501793,-0.452942908,1.136351607,28832496,0,-0.735730886,78.2,0,-0.553631186,136.6656647,49.24952659,10.578,20.153,-0.150054276
Nepal,2020,89.9,0.510153337,29.04761887,0.378739091,41.59072201,33433659301,-2.369620629,1139.189895,0,2.448800144,37.6984,5.052366553,69.246,0,24.9,90.76858353,76.61121214,45.72077064,-0.180229142,1.774268056,29348627,0,-0.735240161,73.1,0,-0.512035429,121.1866837,40.9188656,13.157,20.576,-0.084038779
Nepal,2021,89.9,0.524208615,32.38095093,0.531690907,41.59072201,36924841394,4.838149614,1229.394204,0,1.247831571,41.6083,4.149680034,68.45,71.15000153,23.9,91.24225081,80.40022366,0,-0.188807815,2.311723712,30034989,0,-0.642471373,73.7,0,-0.48886165,118.3385537,43.05380479,12.315,21.008,-0.084464759
Nepal,2022,91.3,0.518774319,33.96226501,0.158939274,0,41182939601,5.631314559,1348.15719,30,0.538949755,49.5609,7.650791768,70.484,0,23,91.23509651,80.39270303,0,-0.251907498,1.692246601,30547580,0.4,-0.650234938,0,0,-0.448678464,118.8039516,48.97340148,10.922,21.451,-0.0491594
Nepal,2023,0,0,0,0.180483792,0,40908073367,1.952544633,1324.031984,0,0,0,7.114759517,0,0,0,0,0,0,0,1.136035375,30896590,0,0,0,0,0,122.9840624,41.63749471,10.685,21.903,0
Pakistan,2000,72.8,0.710499799,22.87234116,0.309595026,5.852091117,99484802345,4.260088011,644.457157,0,0,0,4.366664513,62.102,0,84.8,87.36402076,30.9057923,59.16341563,-1.104804635,3.075552912,154369924,0,-0.766920447,51,0.115659997,-1.000389218,63.47122955,21.45996933,0.597,32.982,-1.220253587
Pakistan,2001,73.9,0.705394444,0,0.389106586,5.797928342,97145618480,3.651350171,610.1432316,28.7,0,1.31855,3.148261446,62.421,0,82.9,87.60278309,32.80766837,59.26193463,0,3.092079184,159217727,33.3,0,51.5,0.151649997,0,63.47180939,23.57720884,0.595,33.18,0
Pakistan,2002,74.9,0.691158642,20.1058197,0.8435173,5.743765567,97923302809,2.594816684,599.7894108,0,0,2.57743,3.290344726,62.626,0,81.1,87.83853927,34.70445497,59.34946089,-1.637678623,2.50885976,163262807,0,-0.877513707,51.4,0.198870003,-0.931637406,63.84201813,23.1290206,0.597,33.38,-1.109006166
Pakistan,2003,76,0.699751457,24.33862495,0.475207712,5.689602792,112372000000,5.401310873,673.382966,0,0,5.04116,2.914134701,62.843,0,79.5,88.07328112,36.59515911,59.36998418,-1.54904592,2.189388121,166876680,0,-0.827369988,50.1,0,-0.920624614,65.76925659,24.65016612,0.595,33.58,-1.170764208
Pakistan,2004,77,0.764313828,10.83743858,0.845585702,5.635440017,132216000000,7.83125557,774.7853357,30.9,0,6.16432,7.444624693,63.052,0,78.1,88.30713702,38.48021693,59.26749427,-1.582877994,2.235149207,170648620,20.2,-1.049112082,47.9,0,-0.994449377,69.64685822,24.80834087,0.588,33.781,-1.142131209
Pakistan,2005,78.1,0.761454393,14.63414669,1.515750831,5.581277242,145209000000,7.276574436,832.7511375,31.3,0,6.33233,9.06332737,62.466,50,76.8,87.99057987,40.35915769,58.98598095,-1.751388311,2.158492155,174372098,20.3,-0.641119778,48,0.398490012,-0.890321434,73.18280792,29.878498,0.582,33.982,-0.976286173
Pakistan,2006,79.1,0.807902021,22.43902397,2.639750062,5.527114467,161871000000,6.051637676,909.0324033,0,0,6.5,7.921084401,63.731,54,75.5,88.14406172,42.2129055,57.44540129,-2.024678469,2.098513142,178069984,0,-0.479762465,47,0,-0.857247531,69.86380768,33.04971214,0.582,34.184,-0.886475444
Pakistan,2007,80.2,0.878248843,21.84465981,3.035719338,5.472951692,184141000000,4.44481434,1012.182794,29.7,0,6.8,7.598684411,63.852,52,74.3,88.31188748,44.05647274,54.33527038,-2.432705164,2.141523972,181924521,14.9,-0.537263751,44.9,0.632499993,-0.887544632,74.22019958,30.78788045,0.398,34.387,-0.949874163
Pakistan,2008,81.4,0.834113749,19.41747665,2.689366561,5.418788917,202204000000,2.120441043,1087.514777,0,1.924735013,7,20.28612109,64.036,56,73,88.47793129,45.88948541,50.75391506,-2.573009491,2.178889217,185931955,0,-0.599021852,46.6,0,-0.972613692,73.91271973,34.34896042,0.423,34.59,-0.838403463
Pakistan,2009,82.5,0.831399228,13.87559795,1.248013055,5.364626142,187338000000,3.472550596,985.3493008,0,1.767061445,7.5,13.64776506,64.14,55,71.6,88.64219188,47.71199679,47.79966219,-2.64452672,2.229162535,190123222,0,-0.584045112,46.4,0.448060006,-0.838977218,74.17310333,33.32688559,0.535,34.793,-0.855763972
Pakistan,2010,87.1,0.782293038,13.80952358,1.027911081,5.310463367,196710000000,1.501717522,1011.59718,28.8,1.728023576,8,12.93887056,64.436,55,70.2,88.80475285,49.52440583,46.5708386,-2.675933123,2.252579345,194454498,9.4,-0.613358259,47.4,0,-0.737805545,74.51810256,31.98899821,0.653,34.997,-0.798651278
Pakistan,2011,87.8,0.77423555,15.16587639,0.575055146,5.268659195,230587000000,2.680116854,1161.044321,29.7,1.814500958,8,11.91609271,64.648,55,68.7,88.96560218,51.32672381,55.75497917,-2.810035467,2.110834578,198602738,9.6,-0.647816777,46.8,0.329169989,-0.906628191,71.02598842,32.36263828,0.796,35.202,-0.829199433
Pakistan,2012,88.6,0.766129128,14.21800995,0.343453049,5.226855023,250107000000,3.027583911,1236.892763,0,1.725256901,8.1,9.682351861,64.782,57,67.1,89.12473117,53.1189631,66.87195407,-2.677003622,1.79797543,202205861,0,-0.722233474,47.2,0,-0.883420169,70.78525465,31.31897077,3.667,35.408,-0.843582153
Pakistan,2013,89.3,0.762642249,17.06161118,0.515353849,5.185050851,258657000000,4.36686505,1259.668368,29.5,1.924888894,9,7.692156119,65.15,56,65.5,89.28197133,54.90051097,68.58132487,-2.603302002,1.536897649,205337562,7.4,-0.70500499,48.1,0.292849988,-0.855993092,70.24364089,30.89027502,2.954,35.613,-0.799480617
Pakistan,2014,90.1,0.792486962,23.07692337,0.695308117,5.143246679,271390000000,4.116428172,1303.18537,0,1.448112847,10,7.189384028,65.284,57,63.8,89.43748479,56.67205633,71.7121701,-2.401279211,1.409182973,208251628,0,-0.688540936,47.2,0,-0.750930011,74.31890185,29.46982583,1.827,35.819,-0.716015041
Pakistan,2015,91,0.826848748,22.38095284,0.557734356,5.101442507,299964000000,4.217942096,1421.835278,31.3,1.60383334,11,2.529328173,65.697,0,62.2,89.59124695,58.43360674,68.00687676,-2.471883535,1.296551724,210969298,5.1,-0.645115256,45.9,0.24605,-0.776916742,74.84799088,26.6881846,3.566,36.026,-0.722057998
Pakistan,2016,91.8,0.904955133,17.61904716,0.821349998,5.017953508,313630000000,6.573838285,1468.822082,0,1.957391558,12.3854,3.765119164,65.88,0,60.5,89.74324599,60.18517155,68.52282972,-2.473873854,1.204055673,213524840,0,-0.662416399,43.7,0,-0.815582871,79.8399702,24.70157951,2.286,36.234,-0.699399233
Pakistan,2017,92.7,0.971850611,21.90476227,0.73583705,4.99418846,339206000000,4.432625907,1567.640612,0,2.176368769,13.78,4.08537368,66.297,59,58.9,89.89341028,61.92650683,61.79672747,-2.396910429,1.328135434,216379655,0,-0.61267668,42.1,0.212139994,-0.733362675,78.84305835,25.47203641,3.193,36.442,-0.693399549
Pakistan,2018,93.4,0.903148247,24.2857151,0.487745751,4.940561436,356128000000,6.151702611,1620.742591,29.6,2.169752837,15.34,5.078057259,66.482,57,57.3,90.04259791,63.66154836,62.38949764,-2.253884554,1.537172403,219731479,4.9,-0.667998254,43.4,0,-0.68372798,82.03330642,27.62605637,4.083,36.666,-0.813987374
Pakistan,2019,93.9,0.875344301,20.95238113,0.69614648,4.886934413,320909000000,2.497636929,1437.165833,0,2.302693297,17.0709,10.5783618,66.756,58,55.7,90.19065035,65.38993557,52.8571977,-2.251637459,1.607981347,223293280,0,-0.687235057,45.9,0.17475,-0.688234627,83.18457523,28.9055758,4.83,36.907,-0.862723053
Pakistan,2020,94.5,0.85371295,21.90476227,0.68469529,4.833307389,300426000000,-1.274087443,1322.314785,0,1.887812496,18.9348,9.739993139,66.269,0,54.1,90.33733695,67.11104079,42.99817342,-1.792646289,1.73302782,227196741,0,-0.764765918,42.7,0,-0.712482035,0,26.71628046,6.162,37.165,-0.877666116
Pakistan,2021,94.9,0.933715745,23.33333397,0.616039439,4.779680365,348517000000,6.513885759,1506.108293,0,1.488483293,24.9775,9.496210561,66.098,0,52.5,90.48246306,68.82426834,0,-1.713656187,1.834062082,231402117,0,-0.761585534,41.6,0.164430007,-0.658457339,84.36845972,27.03042156,6.338,37.44,-0.841158211
Pakistan,2022,95,0.845245486,22.64151001,0.390087239,0,374788000000,4.767539531,1589.26398,0,1.431317349,32.9486,19.87385996,66.431,0,51,90.62575385,70.52881326,0,-1.900261998,1.893245598,235824862,0,-0.886412621,0,0,-0.672492206,82.67900632,33.04037277,5.548,37.731,-0.862237751
Pakistan,2023,0,0,0,0.537284127,0,338368000000,-0.004855269,1407.021351,0,0,0,30.76812807,0,0,0,0,0,0,0,1.957103432,240485658,0,0,0,0,0,0,28.10207676,5.499,38.04,0
